step	CCRONDEL	CCOVOIDE	CC.CRUZ	CCCUBICA	CCTRAPEZIFORM	BILOBADA	POLILOBADA	SADDLE	ELONGATESMOOTH	ELONGATESINUOUS	ELECHINATE	ELDENDRITICO	TRAPEZIFORMSINUOUS	TRAPEZIFORMPOLILOBATE	BULIFORME	PAPILLA	TRICOMA	BASETRICOMA	ESTOMA	CORKCELL	XYLEMCELL	CYPERACEAE	DETGRAMINEA	cf.FERN	GLOBULARSMOOTH	GLOBULARECHINATE	GLOBULARRUGOSE	BLOCKY	JIGSAW	PLACAPERFORADA	EPIDERMDICOT	DETDICOT		
1-250M3	99	2	0	0	0	4	2	2	34	1	10	0	13	9	2	0	7	0	0	0	0	0	7	0	0	0	2	12	0	1	6	0		
1-300M3	111	2	0	0	0	4	3	2	42	1	13	0	15	11	2	0	13	1	0	0	0	0	7	0	0	0	2	14	0	1	7	0		
1-350M3	134	2	0	0	0	4	3	2	46	1	14	0	15	15	2	0	14	1	0	0	0	0	7	0	0	0	2	16	0	1	9	0		
1-400M3	148	2	0	0	0	6	3	3	63	2	16	0	16	16	2	0	15	1	1	0	1	0	7	0	0	0	2	18	0	1	10	0		
1-450M3	164	2	0	0	0	6	3	3	77	2	17	0	21	19	2	2	16	1	1	0	1	0	7	0	0	1	2	18	0	1	12	0		
1-500M3	192	3	0	0	0	6	3	3	82	2	18	0	23	22	2	2	17	2	1	0	4	0	7	0	0	1	2	21	0	1	12	1		
1-550M3	212	3	0	0	0	6	3	3	89	3	18	0	26	22	2	2	18	2	1	1	4	0	7	0	0	1	2	25	0	1	13	1		
1-600M3	237	3	0	0	0	6	3	4	95	4	18	0	34	22	2	2	21	2	1	1	4	0	7	0	0	1	2	27	0	1	14	1		
1-50M4	16	0	0	0	0	0	0	0	8	0	0	0	7	1	0	0	2	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0		
1-100M4	26	0	0	0	0	0	3	0	14	0	1	0	15	7	1	0	2	2	0	0	0	0	1	0	0	0	0	3	0	0	1	0
1-150M4	46	0	0	0	0	0	5	0	25	0	2	0	17	8	1	0	4	2	0	2	0	0	1	0	0	0	0	7	0	0	2	0
1-200M4	59	0	0	0	0	0	5	2	38	2	2	0	18	8	1	0	5	2	0	2	0	0	1	0	0	0	0	10	0	0	2	0
1-250M4	73	0	0	0	0	0	5	3	49	3	4	0	24	9	2	0	9	2	0	2	0	0	1	0	0	0	0	13	0	0	2	0
1-300M4	94	0	0	0	0	0	5	4	58	3	4	0	31	10	2	0	9	2	0	2	0	0	1	0	0	0	0	15	0	0	2	0
1-350M4	119	0	0	0	0	1	5	4	63	3	4	1	32	10	3	0	11	2	0	2	0	0	1	0	0	0	0	15	0	0	5	0
1-400M4	138	0	0	0	0	1	5	5	80	3	4	1	36	11	4	0	12	2	0	2	0	0	1	0	0	0	0	15	1	0	7	0
1-450M4	159	0	0	0	0	1	5	5	92	3	6	1	41	11	4	0	14	2	1	3	0	0	1	0	0	0	0	16	1	0	7	0
1-500M4	177	0	0	0	0	1	5	5	104	3	7	1	44	12	4	0	15	2	1	3	0	0	1	0	0	0	0	17	2	0	7	0
1-550M4	187	0	0	0	0	1	5	5	115	3	7	1	50	14	4	0	17	3	1	3	0	0	1	0	0	0	0	19	2	0	7	0
1-600M4	199	0	0	0	2	1	5	5	127	3	7	1	55	14	4	0	18	3	1	3	0	0	2	0	0	0	0	22	3	0	7	0
1-50M5	18	0	0	0	0	2	0	0	3	0	1	1	2	4	0	0	7	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
1-100M5	41	0	0	0	0	5	0	0	5	0	1	1	3	8	0	0	15	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
1-150M5	67	0	0	0	0	6	0	1	7	0	3	1	6	9	0	0	23	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0
1-200M5	96	0	0	0	0	10	1	1	11	0	3	2	7	9	0	0	29	1	0	0	0	0	5	0	0	0	0	0	1	0	1	0
1-250M5	121	0	0	0	0	10	2	1	15	0	6	2	11	9	0	0	37	1	0	0	0	0	5	0	0	0	0	1	1	0	1	0
1-300M5	140	0	0	0	0	14	2	1	16	0	6	2	12	12	0	0	38	1	0	0	0	0	5	0	0	0	0	2	1	0	1	0
